Card Color,Points,Cost [Black],Cost [White],Cost [Red],Cost [Blue],Cost [Green],ID
BLACK,3,0,3,3,3,5,blk_15
BLACK,4,0,0,7,0,0,blk_16
BLACK,4,3,0,6,0,3,blk_17
BLACK,5,3,0,7,0,0,blk_18
BLUE,3,5,3,3,0,3,blu_15
BLUE,4,0,7,0,0,0,blu_16
BLUE,4,3,6,0,3,0,blu_17
BLUE,5,0,7,0,3,0,blu_18
GREEN,3,3,5,3,3,0,grn_15
GREEN,4,0,3,0,6,3,grn_16
GREEN,4,0,0,0,7,0,grn_17
GREEN,5,0,0,0,7,3,grn_18
RED,3,3,3,0,5,3,red_15
RED,4,0,0,0,0,7,red_16
RED,4,0,0,3,3,6,red_17
RED,5,0,0,3,0,7,red_18
WHITE,3,3,0,5,3,3,wht_15
WHITE,4,7,0,0,0,0,wht_16
WHITE,4,6,3,3,0,0,wht_17
WHITE,5,7,3,0,0,0,wht_18
